© 2000-2024 QIAGEN. All rights reserved.

Categories	Diseases or Functions Annotation	p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy	1,46E-01	 	 	ABCC1,ACADVL,IL10,LPL,SDHA,SDHB	6
Liver Hyperplasia/Hyperproliferation	Progressive liver metastasis	1,55E-01	 	 	POR	1
Renal Damage	Nephrotoxicity	1,55E-01	 	 	CD80	1
Liver Hyperplasia/Hyperproliferation	Ann Arbor stage I-IV hepatosplenic T-cell lymphoma	1,63E-01	 	 	POR	1
Cardiac Necrosis/Cell Death	Apoptosis of cardiomyocytes	1,71E-01	 	 	CASP1	1
Liver Cholestasis	Intrahepatic cholestasis of pregnancy	1,77E-01	 	 	ABCB4,SLC10A1	2
Kidney Failure,Liver Failure	Hepatorenal syndrome	1,78E-01	 	 	ALB	1
Cardiac Arteriopathy	Multi vessel coronary artery disease	1,78E-01	 	 	PTGS2	1
Cardiac Arrythmia	Symptomatic stage atrial flutter	1,86E-01	 	 	CYP2D6	1
Glomerular Injury,Renal Inflammation,Renal Nephritis	Primary glomerulonephritis	1,86E-01	 	 	PTGS2	1
Cardiac Arrythmia	Symptomatic stage atrial fibrillation	1,86E-01	 	 	CYP2D6	1
Cardiac Arrythmia,Tachycardia	Sustained ventricular tachycardia	1,86E-01	 	 	CYP2D6	1
Liver Hyperplasia/Hyperproliferation	Small cell undifferentiated hepatoblastoma	1,93E-01	 	 	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Locally advanced hepatocellular carcinoma	2,08E-01	 	 	POR	1
Renal Proliferation	Proliferation of mesangial cells	2,16E-01	 	 	IL1B	1
Cardiac Dilation,Cardiac Enlargement	Familial dilated cardiomyopathy	2,28E-01	 	 	LPL,SDHA	2
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Primary hepatocellular carcinoma	2,45E-01	 	 	FASN	1
Increased Levels of Alkaline Phosphatase	Increased activation of alkaline phosphatase	2,52E-01	 	 	IL1B	1
Cardiac Arrythmia,Tachycardia	Recurrent tachyarrhythmia	2,52E-01	 	 	CYP2D6	1
Cardiac Dilation,Cardiac Enlargement	Dilated cardiomyopathy 1A	2,59E-01	 	 	LPL	1
Liver Hyperplasia/Hyperproliferation	Advanced liver tumor	2,76E-01	 	 	IDH1,POR	2
Cardiac Arrythmia	Persistent atrial fibrillation	2,79E-01	 	 	F2	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Metastatic hepatocellular carcinoma	2,86E-01	 	 	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Progressive hepatocellular carcinoma	2,93E-01	 	 	SREBF1	1
Cardiac Arrythmia	Severe ventricular arrhythmia	2,99E-01	 	 	CYP2D6	1
Cardiac Dysfunction,Cardiac Enlargement	Hypertrophy of left ventricle	3,19E-01	 	 	CPT1A	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Child-Pugh class A hepatocellular carcinoma	4,19E-01	 	 	POR	1
Hepatocellular carcinoma,Liver Hyperplasia/Hyperproliferation	Unresectable hepatocellular carcinoma	4,35E-01	 	 	POR	1
Liver Hyperplasia/Hyperproliferation	Advanced liver cholangiocarcinoma	4,51E-01	 	 	IDH1	1
Liver Inflammation/Hepatitis	Chronic hepatitis B	4,71E-01	 	 	IL1B	1
Heart Failure	Acute heart failure	4,85E-01	 	 	ABCB1	1
Cardiac Arrythmia	Familial arrhythmia	1,00E00	 	 	ACADVL	1
